,business_id,year,month,dayofmonth,rating,count
0,4JNXUYY8wbaaDmk3BPzlWw,2014,1,15,2,5.0
1,4JNXUYY8wbaaDmk3BPzlWw,2011,5,8,2,5.0
2,4JNXUYY8wbaaDmk3BPzlWw,2015,12,10,2,5.0
3,4JNXUYY8wbaaDmk3BPzlWw,2013,3,15,1,4.0
4,4JNXUYY8wbaaDmk3BPzlWw,2009,9,25,1,5.0
5,4JNXUYY8wbaaDmk3BPzlWw,2012,12,4,3,4.333333333333333
6,4JNXUYY8wbaaDmk3BPzlWw,2016,6,25,3,4.666666666666667
7,4JNXUYY8wbaaDmk3BPzlWw,2012,2,23,3,4.0
8,4JNXUYY8wbaaDmk3BPzlWw,2013,8,15,1,5.0
9,4JNXUYY8wbaaDmk3BPzlWw,2016,10,30,1,4.0
10,4JNXUYY8wbaaDmk3BPzlWw,2014,4,12,2,4.5
11,4JNXUYY8wbaaDmk3BPzlWw,2016,6,1,5,3.2
12,4JNXUYY8wbaaDmk3BPzlWw,2013,3,30,3,5.0
13,4JNXUYY8wbaaDmk3BPzlWw,2013,1,31,6,4.5
14,4JNXUYY8wbaaDmk3BPzlWw,2015,10,13,2,4.0
15,4JNXUYY8wbaaDmk3BPzlWw,2016,3,13,3,4.666666666666667
16,4JNXUYY8wbaaDmk3BPzlWw,2013,11,10,5,4.0
17,4JNXUYY8wbaaDmk3BPzlWw,2012,6,5,3,3.6666666666666665
18,4JNXUYY8wbaaDmk3BPzlWw,2011,10,31,1,4.0
19,4JNXUYY8wbaaDmk3BPzlWw,2010,6,20,1,1.0
20,4JNXUYY8wbaaDmk3BPzlWw,2007,10,15,1,5.0
21,4JNXUYY8wbaaDmk3BPzlWw,2011,2,23,1,4.0
22,4JNXUYY8wbaaDmk3BPzlWw,2012,4,20,3,2.6666666666666665
23,4JNXUYY8wbaaDmk3BPzlWw,2016,8,23,1,5.0
24,4JNXUYY8wbaaDmk3BPzlWw,2011,12,8,1,4.0
25,4JNXUYY8wbaaDmk3BPzlWw,2015,4,16,1,5.0
26,4JNXUYY8wbaaDmk3BPzlWw,2013,10,3,1,5.0
27,4JNXUYY8wbaaDmk3BPzlWw,2012,3,10,3,3.6666666666666665
28,4JNXUYY8wbaaDmk3BPzlWw,2010,8,10,2,5.0
29,4JNXUYY8wbaaDmk3BPzlWw,2016,7,28,2,3.5
30,4JNXUYY8wbaaDmk3BPzlWw,2013,9,11,2,4.5
31,4JNXUYY8wbaaDmk3BPzlWw,2016,1,10,3,4.333333333333333
32,4JNXUYY8wbaaDmk3BPzlWw,2011,6,29,3,4.0
33,4JNXUYY8wbaaDmk3BPzlWw,2014,6,25,4,4.0
34,4JNXUYY8wbaaDmk3BPzlWw,2016,9,19,3,3.3333333333333335
35,4JNXUYY8wbaaDmk3BPzlWw,2015,6,10,5,4.4
36,4JNXUYY8wbaaDmk3BPzlWw,2012,11,23,1,3.0
37,4JNXUYY8wbaaDmk3BPzlWw,2015,12,6,3,3.6666666666666665
38,4JNXUYY8wbaaDmk3BPzlWw,2016,2,10,1,5.0
39,4JNXUYY8wbaaDmk3BPzlWw,2014,7,24,2,4.0
40,4JNXUYY8wbaaDmk3BPzlWw,2013,8,16,3,4.666666666666667
41,4JNXUYY8wbaaDmk3BPzlWw,2014,8,13,4,2.75
42,4JNXUYY8wbaaDmk3BPzlWw,2012,10,28,1,4.0
43,4JNXUYY8wbaaDmk3BPzlWw,2010,8,17,3,5.0
44,4JNXUYY8wbaaDmk3BPzlWw,2015,6,7,4,4.75
45,4JNXUYY8wbaaDmk3BPzlWw,2013,12,26,2,3.0
46,4JNXUYY8wbaaDmk3BPzlWw,2015,1,23,1,5.0
47,4JNXUYY8wbaaDmk3BPzlWw,2015,2,8,4,4.25
48,4JNXUYY8wbaaDmk3BPzlWw,2015,6,8,8,4.875
49,4JNXUYY8wbaaDmk3BPzlWw,2014,3,21,3,5.0
50,4JNXUYY8wbaaDmk3BPzlWw,2011,6,15,2,4.5
51,4JNXUYY8wbaaDmk3BPzlWw,2016,11,21,3,3.3333333333333335
52,4JNXUYY8wbaaDmk3BPzlWw,2012,6,3,3,4.333333333333333
53,4JNXUYY8wbaaDmk3BPzlWw,2013,11,6,3,4.666666666666667
54,4JNXUYY8wbaaDmk3BPzlWw,2016,3,23,3,4.333333333333333
55,4JNXUYY8wbaaDmk3BPzlWw,2012,12,7,1,4.0
56,4JNXUYY8wbaaDmk3BPzlWw,2011,5,27,2,4.5
57,4JNXUYY8wbaaDmk3BPzlWw,2012,12,30,2,4.5
58,4JNXUYY8wbaaDmk3BPzlWw,2012,9,8,2,2.5
59,4JNXUYY8wbaaDmk3BPzlWw,2013,8,5,1,2.0
60,4JNXUYY8wbaaDmk3BPzlWw,2016,12,27,3,4.333333333333333
61,4JNXUYY8wbaaDmk3BPzlWw,2011,9,3,1,4.0
62,4JNXUYY8wbaaDmk3BPzlWw,2013,10,26,1,4.0
63,4JNXUYY8wbaaDmk3BPzlWw,2014,2,27,2,3.5
64,4JNXUYY8wbaaDmk3BPzlWw,2016,5,25,2,3.5
65,4JNXUYY8wbaaDmk3BPzlWw,2016,10,11,2,4.0
66,4JNXUYY8wbaaDmk3BPzlWw,2016,1,29,2,4.5
67,4JNXUYY8wbaaDmk3BPzlWw,2011,1,28,1,4.0
68,4JNXUYY8wbaaDmk3BPzlWw,2013,6,10,1,5.0
69,4JNXUYY8wbaaDmk3BPzlWw,2008,12,28,1,2.0
70,4JNXUYY8wbaaDmk3BPzlWw,2008,9,22,1,2.0
71,4JNXUYY8wbaaDmk3BPzlWw,2011,8,29,6,4.666666666666667
72,4JNXUYY8wbaaDmk3BPzlWw,2007,4,4,1,5.0
73,4JNXUYY8wbaaDmk3BPzlWw,2008,2,21,1,4.0
74,4JNXUYY8wbaaDmk3BPzlWw,2013,1,18,2,5.0
75,4JNXUYY8wbaaDmk3BPzlWw,2012,1,24,3,3.6666666666666665
76,4JNXUYY8wbaaDmk3BPzlWw,2011,1,10,1,4.0
77,4JNXUYY8wbaaDmk3BPzlWw,2014,8,8,5,4.0
78,4JNXUYY8wbaaDmk3BPzlWw,2010,3,3,1,2.0
79,4JNXUYY8wbaaDmk3BPzlWw,2009,6,17,2,5.0
80,4JNXUYY8wbaaDmk3BPzlWw,2013,8,6,5,4.0
81,4JNXUYY8wbaaDmk3BPzlWw,2011,11,15,2,5.0
82,4JNXUYY8wbaaDmk3BPzlWw,2013,10,7,4,4.75
83,4JNXUYY8wbaaDmk3BPzlWw,2010,2,2,1,2.0
84,4JNXUYY8wbaaDmk3BPzlWw,2013,11,21,1,5.0
85,4JNXUYY8wbaaDmk3BPzlWw,2015,4,1,2,3.5
86,4JNXUYY8wbaaDmk3BPzlWw,2016,2,3,2,4.0
87,4JNXUYY8wbaaDmk3BPzlWw,2015,7,14,5,4.4
88,4JNXUYY8wbaaDmk3BPzlWw,2010,8,3,1,4.0
89,4JNXUYY8wbaaDmk3BPzlWw,2010,5,16,3,4.0
90,4JNXUYY8wbaaDmk3BPzlWw,2010,2,23,6,3.6666666666666665
91,4JNXUYY8wbaaDmk3BPzlWw,2006,9,13,1,2.0
92,4JNXUYY8wbaaDmk3BPzlWw,2009,4,6,3,4.0
93,4JNXUYY8wbaaDmk3BPzlWw,2011,2,18,2,4.0
94,4JNXUYY8wbaaDmk3BPzlWw,2013,5,17,2,4.5
95,4JNXUYY8wbaaDmk3BPzlWw,2015,2,16,3,4.0
96,4JNXUYY8wbaaDmk3BPzlWw,2012,12,12,1,4.0
97,4JNXUYY8wbaaDmk3BPzlWw,2014,3,8,3,4.666666666666667
98,4JNXUYY8wbaaDmk3BPzlWw,2016,4,2,6,3.8333333333333335
99,4JNXUYY8wbaaDmk3BPzlWw,2014,3,28,4,4.75
100,4JNXUYY8wbaaDmk3BPzlWw,2007,9,29,1,5.0
101,4JNXUYY8wbaaDmk3BPzlWw,2012,8,23,7,4.428571428571429
102,4JNXUYY8wbaaDmk3BPzlWw,2012,11,18,3,4.0
103,4JNXUYY8wbaaDmk3BPzlWw,2015,1,22,3,5.0
104,4JNXUYY8wbaaDmk3BPzlWw,2011,9,10,5,4.2
105,4JNXUYY8wbaaDmk3BPzlWw,2015,1,15,1,5.0
106,4JNXUYY8wbaaDmk3BPzlWw,2011,11,29,4,4.25
107,4JNXUYY8wbaaDmk3BPzlWw,2011,8,27,2,4.0
108,4JNXUYY8wbaaDmk3BPzlWw,2013,8,21,5,4.6
109,4JNXUYY8wbaaDmk3BPzlWw,2014,7,23,6,3.3333333333333335
110,4JNXUYY8wbaaDmk3BPzlWw,2016,10,24,1,4.0
111,4JNXUYY8wbaaDmk3BPzlWw,2011,3,6,1,3.0
112,4JNXUYY8wbaaDmk3BPzlWw,2015,7,29,8,4.375
113,4JNXUYY8wbaaDmk3BPzlWw,2014,7,29,5,4.0
114,4JNXUYY8wbaaDmk3BPzlWw,2016,7,18,2,4.5
115,4JNXUYY8wbaaDmk3BPzlWw,2016,11,12,2,5.0
